year,month,inflation
1973,12,0.08705882352941183
1974,1,0.09389671361502347
1974,2,0.10023310023310034
1974,3,0.10392609699769054
1974,4,0.10091743119266051
1974,5,0.10706150341685657
1974,6,0.10859728506787324
1974,7,0.11512415349887137
1974,8,0.10864745011086471
1974,9,0.11946902654867253
1974,10,0.1206140350877193
1974,11,0.12200435729847497
1974,12,0.12337662337662328
1975,1,0.11802575107296137
1975,2,0.11228813559322028
1975,3,0.10251046025104615
1975,4,0.1020833333333333
1975,5,0.0946502057613169
1975,6,0.09387755102040819
1975,7,0.09716599190283409
1975,8,0.08599999999999994
1975,9,0.07905138339920949
1975,10,0.07436399217221129
1975,11,0.07378640776699023
1975,12,0.06936416184971102
1976,1,0.0671785028790787
1976,2,0.0628571428571428
1976,3,0.06072106261859574
1976,4,0.06049149338374297
1976,5,0.062030075187969866
1976,6,0.05970149253731335
1976,7,0.05350553505535052
1976,8,0.05709023941068143
1976,9,0.054945054945054944
1976,10,0.0546448087431694
1976,11,0.04882459312839065
1976,12,0.0486486486486487
1977,1,0.05215827338129494
1977,2,0.05913978494623664
1977,3,0.0644007155635063
1977,4,0.06951871657754008
1977,5,0.06725663716814154
1977,6,0.06866197183098602
1977,7,0.06830122591943956
1977,8,0.06620209059233458
1977,9,0.06597222222222217
1977,10,0.06390328151986188
1977,11,0.06724137931034481
1977,12,0.06701030927835049
1978,1,0.06837606837606838
1978,2,0.06429780033840943
1978,3,0.06554621848739493
1978,4,0.06499999999999997
1978,5,0.06965174129353238
1978,6,0.07413509060955518
1978,7,0.0770491803278689
1978,8,0.07843137254901955
1978,9,0.08306188925081436
1978,10,0.08928571428571416
1978,11,0.08885298869143791
1978,12,0.09017713365539455
1979,1,0.09279999999999995
1979,2,0.09856915739268673
1979,3,0.10094637223974762
1979,4,0.10485133020344281
1979,5,0.10852713178294573
1979,6,0.1088957055214723
1979,7,0.11263318112633168
1979,8,0.11818181818181814
1979,9,0.1218045112781954
1979,10,0.12071535022354708
1979,11,0.1261127596439169
1979,12,0.1329394387001477
1980,1,0.1390922401171303
1980,2,0.14182344428364707
1980,3,0.14756446991404007
1980,4,0.1473087818696885
1980,5,0.14405594405594402
1980,6,0.14384508990318126
1980,7,0.13132694938440506
1980,8,0.12872628726287264
1980,9,0.126005361930295
1980,10,0.127659574468085
1980,11,0.12648221343873509
1980,12,0.12516297262059967
1981,1,0.1182519280205656
1981,2,0.11406844106463877
1981,3,0.10486891385767798
1981,4,0.09999999999999994
1981,5,0.097799511002445
1981,6,0.09552599758162021
1981,7,0.1076178960096734
1981,8,0.10804321728691477
1981,9,0.10952380952380955
1981,10,0.10141509433962274
1981,11,0.09590643274853805
1981,12,0.08922363847045195
1982,1,0.08390804597701146
1982,2,0.0762229806598406
